Name,Category,TVL,1d Change,7d Change,1m Change,Mcap/TVL,Fees 24h,Revenue 24h,Holders Revenue 24h,Incentives 24h,Fees 7d,Revenue 7d,Holders Revenue 7d,Incentives 7d,Fees 30d,Revenue 30d,Holders Revenue 30d,Incentives 30d,Fees 1Y,Monthly Avg 1Y Fees,Revenue 1Y,Holders Revenue 1Y,Monthly Avg 1Y Rev,Monthly Avg 1Y Holders Revenue,Incentives 1Y,Monthly Avg 1Y Incentives,Cumulative Fees,Cumulative Revenue,Cumulative Holders Revenue,Cumulative Incentives,P/F,P/S,Earnings 24h,Earnings 7d,Earnings 30d,Earnings 1Y,Monthly Avg 1Y Earnings,Cumulative Earnings,Spot Volume 24h,Spot Volume 7d,Spot Change 7d,Spot Cumulative Volume
"""Fenix Finance""",Dexs,7598355.0479429485,3.4240009835164438,0.5416523677476428,1.810429002767795,0,1,0,0,,20,1,0,,86,4,0,,14077,1648.0918461538463,1393,0,163.08815384615383,0,,,14272,1408,0,,4.37,93.91,,1,4,1393,163.08815384615383,1408,211,2857,-128.64,591217085
"""WoodSwap""",Dexs,7395573.347882511,-3.2626978343419455,-13.429962078078612,39.531369176891914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Arcadia Finance""",,7394557.387729339,-10.035819343839318,-9.042790356997035,-9.463936239719226,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Starke Staked SOL""",Liquid Staking,7390614.852329264,-4.82852479951863,,,,0,2,,,8198,12,,,47150,938,,,931039,77646.10180821917,3311,,276.1283287671233,,,,954218,3311,,,,,2,12,938,3311,276.1283287671233,3311,,,,
"""Kyros""",Liquid Restaking,7382642.252974696,-6.219836154429694,-21.195881877140586,-26.320265486957283,,304,6,,,15323,6360,,,69454,22142,,,1549003,129182.6063561644,550153,,45881.25293150685,,,,1626169,551219,,,,,6,6360,22142,550153,45881.25293150685,551219,,,,
"""Binaryx Platform""",RWA,7377625.463421607,-0.032438310603422255,0.4793271993615454,2.1935530309987175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ethereal Season Zero""",Farm,7282211.772887982,-0.6265151981722702,-8.624900597682647,-33.28205567555682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""CLever""",Yield,7205991.501554767,1.7698585119307761,-9.845249601269714,-5.874779932679166,0.05,,,,0,,,,0,,,,0,,,,,,,0,,,,,0,,,,,,,,,,,,
"""Lair Finance""",Liquid Staking,7172308.453763376,4.24957279637685,-17.710650137111404,-11.899654093788214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Parasail""",Restaking,7124572.627439947,0.5966803881420123,-11.66999013907382,-43.36413228121433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Synatra""",Yield Aggregator,7083444.147653619,-1.8896262638078527,73.60969842978095,-13.384182306699646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Splash Protocol""",Dexs,7073004.964977629,26.86097654646673,1.360816578408349,-22.651500223220456,,75,0,,,1488,9,,,6213,36,,,804722,69393.02458923512,4021,,346.74005665722376,,,,2030886,617067,,,,,,9,36,4021,346.74005665722376,617067,9813,172992,0.34,245695350
"""Pickle""",Yield Aggregator,7025433.200133464,-5.299403736430889,-14.469786498882343,-16.627169136972796,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SakuraSwap""",Dexs,7019310.832211902,,,,,1627,0,0,,10985,0,0,,48542,0,0,,6275514,523360.674410959,0,0,0,0,,,6477471,0,0,,,,,,,,,,891131,8330592,24.67,2581545007
"""Pac Finance""",Lending,7017650.693369752,,,,,3479,2819,,,315107,252086,,,315107,252086,,,682472,56916.29501369863,546492,,45575.93556164383,,,,790981,633831,,,,,2819,252086,252086,546492,45575.93556164383,633831,,,,
"""Legion""",Launchpad,7012982.489806243,,,,,0,0,,,0,0,,,57674,57674,,,284655,52514.53454545455,205515,,37914.40363636363,,,,284655,205515,,,,,,,57674,205515,37914.40363636363,205515,0,0,,235662947
"""Sablier""",Payments,6976092.191500902,,,,,262,262,,,1057,1057,,,5385,5385,,,237432,19801.178301369866,237432,,19801.178301369866,,,,384559,384559,,,,,262,1057,5385,237432,19801.178301369866,384559,,,,
"""HiveSwap""",,6962879.719375001,-1.3884018038506327,-8.569996494224954,-19.21781664160916,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30891,75343,26.059999999999995,89324992
"""Credit Coop""",RWA Lending,6901254.424225299,0.01904667466629551,0.2361711067009156,0.865497881742581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""PotatoSwap""",Dexs,6878205.521981992,,,-46.217069201433304,,1064,340,338,,9456,2998,2976,,55742,16792,16759,,2749493,344242.0764727955,854847,851715,100878.83105065666,99716.17153846154,,,2750557,855187,852053,,,,340,2998,16792,854847,100878.83105065666,855187,463571,3993614,1.85,1118860017
"""SPHERE""",,6824161.369071557,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SundaeSwap""",Dexs,6821325.787670017,-1.6074529884200557,-0.45914020614826556,-15.034368307690615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314398,1733386,32.56,307259296
"""Quarry""",Yield,6774870.719414497,-3.7555043647390747,-17.858478580233434,-21.766196339131888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Tinyman""",Dexs,6705778.54431548,-0.479903142660912,-11.386855749669325,-19.05709023885754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640511,10529183,246.56,1301757164
"""Prime Staking""",Liquid Staking,6669339.466862396,1.215114857835242,0.6310806519868716,-28.70247360150482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""BulbaSwap""",Dexs,6641996.752932587,,,-2.829788073846403,,876,,,,3486,,,,7515,,,,419366,34973.975452054794,,,,,,,588803,,,,,,,,,,,,1667584,6250205,186.06,234151504
"""Moar Market""",Leveraged Farming,6625609.444693249,,,,,947,351,,,9326,2862,,,50114,13965,,,155968,17519.062435424355,46466,,5219.280590405904,,,,155968,46466,,,,,351,2862,13965,46466,5219.280590405904,46466,,,,
"""ShibaSwap""",Dexs,6594220.136766294,-3.1384013589573025,-19.692243207044214,-31.608351681440126,2.42,591,0,,,5956,0,,,21607,0,,,1449755,121630.56901967248,0,,0,,,,52840122,0,,,61.59,,,,,,,,206771,2133384,240.29000000000002,17675810108
"""Swirl""",Liquid Staking,6515025.870043502,-0.08841660466772402,-18.165871700445205,-35.61884956166576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ELFi Protocol""",Derivatives,6497267.015841448,-2.236289813718058,-12.459802149554609,-18.17906378681988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Autofarm""",Yield Aggregator,6497216.419378857,-2.0729683781391657,-12.868009996016427,-15.703015449127955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Vires Finance""",Lending,6425466.802868332,-3.6539218016660624,-16.027314574766017,-18.57944533153435,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""cVault Finance""",Yield,6405236.543382809,-0.09222741325775075,-15.187304857420866,-22.948071602732174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""LiquidLoans""",CDP,6403284.6773337545,-3.9281091910105674,-20.351920661429705,-24.680663201358577,,5,5,5,,517,58,58,,1911,753,1452,,95074,7928.911123287671,19354,18588,3272.9764444444445,3929.296666666667,,,221865,139367,138601,,,,5,58,753,19354,3272.9764444444445,139367,,,,
"""Tranchess""",,6393122.872290948,-4.470019795056132,-19.27885541391897,-20.42026645686116,0.8,,,,0,,,,0,,,,0,,,,,,,0,0,,,,0,,,,,,,,,,,,
"""Asymmetry""",,6341503.179270119,0.5142301579354308,-6.624253285210282,-0.19337678048251367,0.09,472,0,,,2317,0,,,6741,0,,,407227,48421.83546875,0,,0,,,,407699,0,,,7.66,,,,,,,,,,,
"""Inception""",,6327194.133548986,-3.4978822613841922,-24.824107361730587,-27.725399016500514,,0,0,,,0,0,,,0,0,,,12213,1018.5307397260275,61070,,5093.070684931507,,,,223477,1078655,,,,,,,,61070,5093.070684931507,1078655,,,,
"""Piku""",Yield,6299927.0182656245,0.8073886705256297,1.2430185334062558,11.71976739987178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Botanix stBTC""",Liquid Staking,6280181.143944618,-3.263281065303429,-13.48252426439173,-31.29365853494268,,390,0,,,2977,0,,,17427,0,,,125022,25037.30052631579,0,,,,,,125412,0,,,,,,,,,,,,,,
"""Keyring""",Risk Curators,6232929.682868445,-0.02234628969957861,-0.9889808057363239,-0.9662869427803505,,0,0,,,0,0,,,0,0,,,403755,33672.06082191781,40370,,3366.747397260274,,,,403755,40370,,,,,,,,40370,3366.747397260274,40370,,,,
"""Taiko Swap""",Dexs,6226441.195245993,-2.7817231209542426,-19.257536891096063,-11.78024633564406,,2703,0,,,16503,0,,,55229,0,,,99912,38016.516,0,,,,,,102615,0,,,,,,,,,,,1017548,5383661,-41.78,34321565
"""Aegis Markets""",Liquidity manager,6225855.3140667975,-4.7813785060587515,-20.349049838659656,4.898785655881858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""WaterNeuron""",Liquid Staking,6213766.339720607,-0.7864276733912104,-18.783965241628202,-18.156813903774516,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""LayerBank""",Lending,6211037.687463228,,,-8.667594095597293,,,,,0,,,,0,,,,0,,,,,,,0,,,,,0,,,,,,,,,,,,
"""Greenhouse Finance""",Risk Curators,6191632.6540602315,5.485776779996987,40.935976208334054,256.6181881534927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Francium""",Yield,6144136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Polynomial Protocol""",,6110864.276257419,-0.5417303589630024,-7.150904523317174,-12.37500253591142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""The Idols""",Reserve Currency,6065197.649111233,-4.451297593814695,-25.66355825202787,-28.796796853855568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Vest Markets""",Derivatives,6016853.837084251,-1.5157853267703538,-12.669131937401582,-19.14770838369678,,3264,0,,,31302,0,,,148746,0,,,5178035,842884.4139037434,0,,,,,,5178035,0,,,,,,,,,,,,,,
"""DeltaPrime""",Leveraged Farming,5971894.503141502,-1.4835365263905624,-14.033712843852145,-20.17398347338242,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Aptin Finance""",Lending,5966363.485283979,-2.6433369452486493,-22.162882939981053,-30.27837663123917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""STFIL""",Liquid Staking,5964436.7447056305,-0.7333429051319822,-15.173245542702132,-28.182150343907004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""StableHodl""",Yield,5956369.121334717,-0.051215301565285594,0.008904477902831385,0.04817934398607493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Kasu""",RWA Lending,5906169.355596431,-0.020620732539868746,-0.00978504022521638,0.04892781868471292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Saber""",Dexs,5857515.029254438,-3.034046486024452,-15.430619638389775,-18.42705556887079,0.18,27,14,0,,189,98,0,,810,420,0,,12315,1213.1669902912622,6284,0,619.0451779935275,,,,12342,6298,0,,111.05,214.18,14,98,420,6284,619.0451779935275,6298,903125,5688737,-21.1,4607721262
"""Asseto CASH+""",RWA,5841178.58947137,0.0016263125234784247,0.0665666848803151,10.009475523880361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Zenlink""",Dexs,5824274.044903804,-3.090416196866427,-16.608296251495783,-27.46033546897903,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8352,172890,204.76,33875092
"""FanX Protocol""",Dexs,5783658.14428794,-1.9985540110376978,-17.99496597799144,-4.759815097720814,,1239,619,0,,7605,3802,0,,32171,16084,0,,357023,29774.74005479452,178502,0,14886.577753424659,,,,525468,262724,0,,,,619,3802,16084,178502,14886.577753424659,262724,412968,2480047,25.73,175304310
"""Pact""",Dexs,5765664,13.103619821004955,103.00783171409367,88.1722016320957,,724,,,,10221,,,,16300,,,,214666,17902.556273972605,,,,,,,848229,,,,,,,,,,,,103583764,2445657937,231535.66,2896996174
"""BSCSwap""",Dexs,5756361.111352164,-2.3389412332399067,-15.80523660936611,-15.99504105717566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Aztec Connect""",Privacy,5737215.138580356,-3.144301367898441,-23.504065743808145,-26.701981683337145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Kinza Finance""",Lending,5701061.7543499535,-2.342819727456859,-23.329649575984323,-25.53777691447156,,348,45,,,6780,710,,,17323,2291,,,349417,29140.420493150687,48865,,4075.2071232876715,,,,727982,105365,,,,,45,710,2291,48865,4075.2071232876715,105365,,,,
"""Bio Protocol""",Launchpad,5675509.160704463,-5.9928713996968686,-32.529059848350855,-40.13261623732184,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""IntentX""",Derivatives,5673214.303925948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""HyperWave""",Yield,5607923.431529477,-23.956112772046403,-26.809061131131372,-37.190549124287,,373,32,,,3436,299,,,6578,586,,,2564223,323879.452780083,11076,,1398.976929460581,,,,2564223,11076,,,,,32,299,586,11076,1398.976929460581,11076,,,,
"""Stafi""",Liquid Staking,5598307.0476132585,-5.0463242541181605,-25.818351079548087,-28.51937566640786,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ABC Pool""",Staking Pool,5594647.02863626,-1.2594434279687166,-19.155296245815276,-30.151333466592746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""INIT Capital""",Lending,5553309.164767774,-1.6377995490111097,-20.660870981826776,-44.98307682038789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SYMMIO""",Derivatives,5539054.405879773,0.7051444752135156,2.630294557525272,-2.4066322256869355,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Gamma""",Liquidity manager,5524475.447929484,-2.2831787048730225,-13.372531734754709,-23.693797110511024,0.04,7026,859,,,35296,5547,,,139411,21238,,,8428481,702912.2236712329,966099,,80570.00975342466,,,,57667879,6991864,,,0.16,1.08,859,5547,21238,966099,80570.00975342466,6991864,,,,
"""Awaken Swap""",Dexs,5485489.50173827,-0.27220375400340885,-5.785213279437287,-4.110786765610478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Harmonix Finance""",Yield,5447661.368790001,-2.9104461951362985,-3.844608614474869,-21.123326340688834,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""DOOAR""",Dexs,5422028.20002878,-2.2045712659814853,-10.245737943821775,-12.061055265129689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Wing Finance""",Lending,5404046.382494541,-0.976758149135188,-12.425287476062795,-14.465652621732165,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Blend Money""",Onchain Capital Allocator,5400380.054293945,-0.12686554776607237,0.01207564103205708,11.73382185288856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Flexa""",Payments,5368027.061450462,-1.1423135418079795,-15.992991073938109,-44.86237438501345,25.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Boson Protocol""",RWA,5330546.7917742785,-0.022868253772266145,-0.028055525835081207,-0.037055475087578345,0.62,0,0,0,,0,0,0,,0,0,0,,0,,0,0,,,,,0,0,0,,,,,,,,,,,,,
"""Bitflow""",Dexs,5327939.574248423,2.9323702896489245,-1.494867188389379,-13.794767590602689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1581595,7155221,36.41,550444491
"""Metastable""",CDP,5305538.199104107,-4.427349245148129,-22.54869937524669,-35.09136548460624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1673028,15759464,10.14,1557563228
"""Parcl""",,5199314.263371826,,,,1.38,1000,1000,0,,1111,1111,0,,2844,2844,0,,3416479,284924.98838356166,3416479,0,284924.98838356166,0,,,9199287,9199287,0,,210.97,210.97,1000,1111,2844,3416479,284924.98838356166,9199287,,,,
"""Dnax""",Dexs,5188121.163436833,-1.217365581236374,-7.60987866563845,-10.558896271431475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Ribbon Finance""",,5149767.672172254,-3.130774232788923,-19.574837093717562,-23.619003204621926,0.47,,,,0,,,,0,,,,0,,,,,,,0,0,,,,0,,,,,,,,,,,,
"""DeDust""",Dexs,5139573.438080777,1.6271395207024406,-7.010801078453015,-24.635188269360263,,761,152,,,5416,1084,,,22638,4527,,,792238,66070.4786849315,158442,,13213.628712328768,,,,3967273,793451,,,,,152,1084,4527,158442,13213.628712328768,793451,475582,3205782,24.72,3099351837
"""GammaSwap Protocol""",,5112229.797872287,-2.726912310904925,-22.667205844937012,-35.37218097055007,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270301,1427468,199.67,180469483
"""Turbos""",Dexs,5098992.579886586,3.2179120511473944,-23.95272741225699,-32.10594630059986,0.17,8016,2405,,,59292,17785,,,68299,20487,,,68299,,20487,,,,,,76315,22892,,,1.06,3.55,2405,17785,20487,20487,,22892,15278698,80004565,47.05,9400389642
"""Hermetica USDh""",Basis Trading,5066520.200366325,-0.029922789939783312,0.09898906573735297,-11.844119146631686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Acala Liquid Staking""",Liquid Staking,5055288.255043105,-2.3232485306201243,-19.215087342667264,-28.251160739032137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Sirius""",Dexs,5032825.75029101,-1.9719442266074916,-14.676130282663019,-12.468905970246587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Hakka Finance""",Derivatives,5016338.65661641,-3.42404737012491,-25.018514014947012,-28.3294751454081,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""H2 Finance""",Dexs,4982095.878769802,-1.350278390990787,-11.337607424783705,-21.96385398913961,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109396,678853,250.63,200336051
"""Football.Fun""",Prediction Market,4968719.964150376,-0.8307994890668567,-3.125737637117935,-12.756297899609969,,7522,7522,,,55578,55578,,,422583,422583,,,5525045,919029.343169399,5525045,,919029.343169399,,,,5532567,5532567,,,,,7522,55578,422583,5525045,919029.343169399,5532567,244441,1814474,-22,109059956
"""Affluent""",Lending,4966820.045165053,3.105572264405521,-3.3287097332122846,-12.264370980916988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Easedefi.org""",Insurance,4959149.334288019,-2.487851834295365,-22.710281009605946,-43.39025023873424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""ViteX""",Dexs,4944710.11093622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""POWERCITY""",,4920146.327103607,,,,,34,34,34,,638,131,131,,4815,3905,4285,,77509,6532.026751102006,14791,20160,2547.878614260686,4439.56012408644,,,139554,70695,76064,,0,0,34,131,3905,14791,2547.878614260686,70695,,,,
"""PoWH3D""",Farm,4896324.660331239,-3.4249303368427833,-24.733189252700306,-30.05157596620099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Honeypop DEX""",Dexs,4880893.330096485,-2.0177709626041493,-9.298128851080888,-15.023052433790957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""SynFutures""",Derivatives,4873071.623082649,-1.3638557381364846,-7.2957113490838,-10.002116346661678,4.13,19083,19064,0,0,114940,114849,0,0,419416,419005,0,0,10961909,934679.2996078432,1834506,0,558423.6264000001,0,0,0,74497946,1853570,0,0,4,4.01,19064,114849,419005,1834506,558423.6264000001,1853570,,,,
"""AnyHedge""",Derivatives,4863333.4799999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Maverick Protocol""",Dexs,4855498.194969408,-1.317779496515661,-8.308033027001448,-9.356647622827289,3.52,974,,,0,7974,,,0,23508,,,0,723661,60351.344767123286,,,,,0,0,6329449,,,0,60.6,,,,,,,,50135618,392054739,13.079999999999998,69357733060
"""WingRiders""",Dexs,4846687.974266489,-1.3071300022853571,-14.211553115992334,-31.35745418895155,0.13,1019,,,,10366,,,,11835,,,,11835,,,,,,,,12854,,,,4.71,,,,,,,,265430,3118524,57.02,433644444
"""DFS Network""",Dexs,4831787.779379311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""xWin Finance""",Indexes,4736993.863908817,-3.1848787443743225,-19.587525316356714,-38.23977598516953,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""xExchange""",Dexs,4727060,0.46098403759620127,-14.096421953310262,-22.805222918931488,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388407,3014647,117.26,2237699904
"""four.meme""",Launchpad,4706859.903750042,-2.4208241077566064,-16.067688771567806,-7.117606907531897,,67807,67309,,,915340,908548,,,10301861,10240685,,,81271343,6777807.344986302,79973290,,6669553.28109589,,,,81562790,80210019,,,,,67309,908548,10240685,79973290,6669553.28109589,80210019,5896953,56709150,-74.12,8226155296
"""OroSwap""",Dexs,4690969.481174479,-6.6334653082996216,-8.864469906082668,-1.4234420101979004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""NEST""",Dexs,4682398.230802228,-7.668822946918478,-23.4839962726308,,,3774,,,,17739,,,,57379,,,,215360,79945.83414634147,,,,,,,215360,,,,,,,,,,,,0,38695397,58.35,341251144
"""Antarctic""",Derivatives,4623270.568717493,0.004859107912256621,25.833930104884768,292.8267009536913,,94635,,,,546979,,,,2053065,,,,23918172,2716675.954029851,,,,,,,23918172,,,,,,,,,,,,,,,
"""NeoBurger""",Liquid Staking,4602650.0754503505,-4.7427091780474635,-15.895931593237844,-25.01729419710373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Goblin protocols""",,4510445.430868148,-0.956499563252938,-70.73860099068476,,,0,0,,,177,90,,,730,370,,,730,0,370,,0,,,,730,370,,,,,,90,370,370,,370,,,,
"""Llama Airforce""",Yield,4503553.077433115,-4.4520602082871354,-19.349433986673787,-21.998892632516103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Pay Protocol""",Payments,4485887.329148917,-4.729603017274397,-14.001677624086858,-41.43474275767103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""DipCoin""",,4467612.6837536,-0.18254718404720113,-1.8032696049960921,,,61469,61341,,,456983,456146,,,2145212,2142371,,,4935956,1727017.248735632,4926618,,1723750.0220689655,,,,4997425,4987959,,,,,61341,456146,2142371,4926618,1723750.0220689655,4987959,350768,1750188,80.26,19568473
"""Trevee Earn""",Yield Aggregator,4457966.030541435,-1.8243778062832223,-21.65725114116315,-44.5068326572474,,0,,,,2200,,,,7512,,,,1993477,166250.52021917808,,,,,,,1993477,,,,,,,,,,,,,,,
"""Biquid""",Liquid Staking,4456087.502482063,-5.6148940122214555,-23.545069360041474,-22.07465240404555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""CityCoins""",Yield,4440799.610795438,7.314146207242548,3.9142070908434445,-13.054476578213276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Remora Markets""",RWA,4358356.550164169,-4.578878480231566,21.103619831373337,38.35233683132141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Charm Finance""",Liquidity manager,4358168.3258159915,-1.686009553124174,-21.711064996770354,-20.93874065935459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Bracket Protocol""",,4357458.557068055,,,,,1191,361,,,11593,3447,,,83891,23920,,,1662589,385143.2900147524,308520,,72241.14461538462,,,,5593541,308883,,,,,361,3447,23920,308520,72241.14461538462,308883,,,,
"""Notional""",,4353853.938357529,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Mangrove""",Dexs,4334221.265498914,0.9930286793857627,-0.002329252652278276,0.5590646297813359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,123065808822
"""Virtue""",CDP,4317806.9399620695,-0.8288976872511609,-17.641138220967196,-30.171436887407772,,724,724,,,5602,5602,,,10768,10768,,,10768,,10768,,,,,,11492,11492,,,,,724,5602,10768,10768,,11492,,,,
"""Typus Finance""",,4299031.86565904,0.7130905651886515,-20.719373963351305,-27.13393789718401,0.02,111,52,,,4235,1076,,,27032,6060,,,1420246,120588.65822392287,291772,,24769.689354251168,,,,1510944,313822,,,0.37,1.64,52,1076,6060,291772,24769.689354251168,313822,,,,
"""Blueshift""",Dexs,4286762.207442772,-1.4985527477215899,-13.816483979177821,-15.474602876413815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""3F Mutual""",Insurance,4283603.874854132,-4.972718001388494,-26.1675769341577,-29.136424276334644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""UTONIC""",Liquid Staking,4257011.894855484,2.1931352328199183,-7.922840135125692,-24.8998690057206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Bumpin Trade""",Derivatives,4212303.440598642,-2.142968076536401,-9.18497178375824,-11.894796266678087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Soroswap""",Dexs,4203220.4513203995,1.14538854541852,-5.220487640894112,-8.421884265876066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Sierra Protocol""",Yield,4197214.694250798,,,,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""QiDao""",CDP,4178915.8500597067,-3.118017787939061,-18.407696279951296,-22.328938302129796,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1226,102.24504109589041,613,613,51.12252054794521,51.12252054794521,0,,454778,227388,227388,0,,,,,,613,51.12252054794521,227388,,,,
"""Stakingverse""",Liquid Staking,4140618.2557512317,-3.5839355831808737,-24.414480685550565,-43.24364979593992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Flamingo""",,4100807.4152367776,-1.1240220967033816,-6.024346054926022,-17.058063202265174,0.63,319,,,,1858,,,,3501,,,,79493,14403.374523809523,,,,,,,79493,,,,61.83,,,,,,,,198534,1056761,249.4,1643234536
"""Waves Exchange""",Farm,4100255.023214725,0.029463800621846812,-4.3906744488855525,-5.011804596547247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Velvet.Capital""",,4057478.343766314,,,,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
