Name,Category,TVL,1d Change,7d Change,1m Change,Mcap/TVL,Fees 24h,Revenue 24h,Holders Revenue 24h,Incentives 24h,Fees 7d,Revenue 7d,Holders Revenue 7d,Incentives 7d,Fees 30d,Revenue 30d,Holders Revenue 30d,Incentives 30d,Fees 1Y,Monthly Avg 1Y Fees,Revenue 1Y,Holders Revenue 1Y,Monthly Avg 1Y Rev,Monthly Avg 1Y Holders Revenue,Incentives 1Y,Monthly Avg 1Y Incentives,Cumulative Fees,Cumulative Revenue,Cumulative Holders Revenue,Cumulative Incentives,P/F,P/S,Earnings 24h,Earnings 7d,Earnings 30d,Earnings 1Y,Monthly Avg 1Y Earnings,Cumulative Earnings,Spot Volume 24h,Spot Volume 7d,Spot Change 7d,Spot Cumulative Volume
"""Hemi Staking""",Farm,39363424.870562896,-4.850036802527194,-26.055969927073324,-28.905098538000356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Velodrome""",Dexs,39310904.64064461,-2.742134749348892,-18.94964312665282,-27.540796846782044,0.44,12037,12037,12037,0,94911,94911,94911,41824.15026824442,391917,391917,391917,594657.6228049847,7764117,649155.9855679664,7764117,7764117,649155.9855679664,649155.9855679664,16233728.655505976,1368849.5852454347,29875660,34894782,34888817,103517855.33538276,3.73,3.73,12037,53086.84973175558,-202740.62280498468,-8469611.655505976,-719693.5996774683,-68623073.33538276,28374619,155614564,184.64,40090879264
"""Camelot""",Dexs,39147335.682713054,,,-5.233072950255578,0.06,525,210,118,0,5411,2163,1216,0,22004,8803,4951,0,5178393,431863.78882191784,1124682,955596,93795.39747945205,79694.08832876713,0,0,54422694,14530652,12528468,0,9.23,23.07,210,2163,8803,1124682,93795.39747945205,14530652,13243525,125148738,69.31,68486129295
"""Karak Protocol""",,38906360.408697605,-3.575564631068956,-19.819596034440824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""IPOR Protocol""",,38854530.51684768,-2.524787848953835,-11.854893242557235,-9.41919425274778,,,,,0,,,,0,,,,0,,,,,,,0,0,,,,0,,,,,,,,,,,,
"""Kuma""",,38841927.23440207,-3.412310153475985,-24.816869645255878,-28.090984605399154,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""GoPlus Security""",,38389941.6200769,-1.6644481992864064,-14.168978426180972,-10.619000269665927,0.93,486,486,0,,3335,3335,0,,80197,80197,0,,1146836,95642.98038356165,1146836,0,95642.98038356165,0,,,4191854,4191854,0,,37.31,37.31,486,3335,80197,1146836,95642.98038356165,4191854,,,,
"""vfat.io""",Yield Aggregator,37943515.83440378,-1.425162176548079,-24.36617894494228,,,2492,2492,,,19237,19237,,,75907,75907,,,2098163,174981.04580821918,2098163,,174981.04580821918,,,,4887719,4887719,,,,,2492,19237,75907,2098163,174981.04580821918,4887719,,,,
"""Vesper""",Yield Aggregator,37467220.15713847,-2.3005461058645755,-14.484489458668579,-16.955279552595247,0.02,9,9,0,,10642,10642,0,,28890,28890,5354,,171080,14267.603287671232,171080,45429,14267.603287671232,3788.6541369863016,,,234494,234494,108834,,3.15,3.15,9,10642,28890,171080,14267.603287671232,234494,,,,
"""Minswap""",Dexs,36813028.77152762,-2.5092774824140087,-17.22350601736971,-29.59534350462945,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3401348,18337619,39.01,4403215946
